ID;Nom;Prix (€);Qté;CA (€);Z-score
5448;Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017;7,2;0,0;0,0;-0,9079134263860642
4965;Château Turcaud Entre-Deux-Mers 2019;7,1;26,0;184,6;-0,911505945848698
4681;Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018;7,1;12,0;85,2;-0,911505945848698
5722;Domaine de l'Hortus Pays de l'Hérault Le Loup Dans La Bergerie 2018;7,1;19,0;134,9;-0,911505945848698
4963;Château Turcaud Bordeaux Rouge 2016;7,0;2,0;14,0;-0,915098465311332
4923;Cave de Castelmaure Corbières Rouge Vigneron 2018;7,0;10,0;70,0;-0,915098465311332
4105;Emile Boeckel Sylvaner Vieilles Vignes 2019;6,8;5,0;34,0;-0,9222835042365998
4776;Château de La Liquière Pays d'Hérault Blanc A Mi Chemin 2017;6,8;7,0;47,6;-0,9222835042365998
4207;Domaine Montrose Côtes de Thongue Rouge 2018;6,7;5,0;33,5;-0,9258760236992336
4858;Château Turcaud Bordeaux Rosé 2019;6,5;1,0;6,5;-0,9330610626245014
4927;Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018;6,5;4,0;26,0;-0,9330610626245014
5695;Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019;6,5;14,0;91,0;-0,9330610626245014
4680;Domaine de Joy Côtes de Gascogne Envie de Joy 2018;6,3;2,0;12,6;-0,9402461015497692
5779;Maurel Pays d'Oc Syrah 2019;5,8;8,0;46,4;-0,9582086988629386
5778;Maurel Pays d'Oc Merlot 2018;5,8;24,0;139,2;-0,9582086988629386
4200;Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019;5,8;46,0;266,8;-0,9582086988629386
4198;Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019;5,8;0,0;0,0;-0,9582086988629386
4173;Maurel Pays d'Oc Chenin-Colombard 2019;5,7;13,0;74,1;-0,9618012183255724
5777;Maurel Pays d'Oc Cabernet-Sauvignon 2017;5,7;0,0;0,0;-0,9618012183255724
4174;Maurel Cabardès Tradition 2017;5,7;6,0;34,2;-0,9618012183255724
4172;Maurel Pays d'Oc Chardonnay 2019;5,7;43,0;245,1;-0,9618012183255724
6129;Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017;5,2;0,0;0,0;-0,9797638156387418
